elite_account,pf_score,elite_id_str,falsity
BarackObama,0.574,813286,0.574
HillaryClinton,0.578,1339835893,0.578
MittRomney,0.439,50055701,0.439
ScottWalker,0.431,33750798,0.431
SenJohnMcCain,0.475,19394188,0.475
GovernorPerry,0.414,18906561,0.414
BernieSanders,0.559,216776631,0.559
ScottforFlorida,0.428,306389855,0.428
JoeBiden,0.473,939091,0.473
tedcruz,0.307,23022687,0.307
GovChristie,0.495,90484508,0.495
SpeakerRyan,0.462,18916432,0.462
newtgingrich,0.348,20713061,0.348
JebBush,0.56,113047940,0.56
CharlieCrist,0.535,38970940,0.535
SpeakerBoehner,0.414,7713202,0.414
JohnKasich,0.57,18020081,0.57
RonJohnsonWI,0.483,142332083,0.483
GregAbbott_TX,0.455,90651198,0.455
SarahPalinUSA,0.385,65493023,0.385
RickSantorum,0.339,58379000,0.339
MicheleBachmann,0.187,18217624,0.187
RandPaul,0.512,216881337,0.512
Mike_Pence,0.369,22203756,0.369
NRCC,0.273,5496932,0.273
timkaine,0.612,172858784,0.612
SenatorBaldwin,0.525,1074518754,0.525
SpeakerPelosi,0.399,15764644,0.399
RudyGiuliani,0.392,770781940341288960,0.392
GovernorDeal,0.592,217416964,0.592
senrobportman,0.654,18915145,0.654
DWStweets,0.473,115979444,0.473
BillClinton,0.578,1330457336,0.578
RonPaul,0.462,287413569,0.462
GovMikeHuckabee,0.423,15416505,0.423
DavidHDewhurst,0.356,333533135,0.356
dccc,0.196,14676022,0.196
dccc,0.196,14676022,0.196
NRSC,0.241,5693842,0.241
SenSherrodBrown,0.649,43910797,0.649
TheDemocrats,0.559,14377605,0.559
FloridaGOP,0.318,15444711,0.318
GOP,0.425,11134252,0.425
DanPatrick,0.418,17582355,0.418
NYGovCuomo,0.65,232268199,0.65
BobMcDonnell,0.491,14738157,0.491
SenWarren,0.625,970207298,0.625
AlanGrayson,0.549,41017380,0.549
JohnCornyn,0.541,13218102,0.541
EricCantor,0.407,18891923,0.407
TerryMcAuliffe,0.359,19471123,0.359
GeorgeWill,0.512,2255182597,0.512
FlaDems,0.461,76027332,0.461
LeaderMcConnell,0.452,1249982359,0.452
CoryBooker,0.617,15808765,0.617
repmarkpocan,0.605,1206227149,0.605
glennbeck,0.311,17454769,0.311
SenBillNelson,0.6,20597460,0.6
RepGwenMoore,0.505,22669526,0.505
Reince,0.272,20733972,0.272
SecretaryCarson,0.178,828613457020870656,0.178
davidcicilline,0.522,23593446,0.522
KamalaHarris,0.474,30354991,0.474
JoshMandelOhio,0.384,35664186,0.384
Dennis_Kucinich,0.688,15022633,0.688
maddow,0.461,16129920,0.461
WisDems,0.225,27078238,0.225
wendydavis,0.524,355906128,0.524
MayorOfMKE,0.424,1022863572,0.424
TommyThompsonWI,0.331,373545909,0.331
AllenWest,0.235,237403203,0.235
BetoORourke,0.587,342863309,0.587
billwhitetx,0.537,18170523,0.537
georgeallenva,0.496,136389258,0.496
club4growth,0.462,14410652,0.462
THEHermanCain,0.21,28587919,0.21
SenWhitehouse,0.71,242555999,0.71
seanhannity,0.386,41634520,0.386
Tony4WI,0.316,816819836105949184,0.316
MikeBloomberg,0.656,16581604,0.656
SenatorReid,0.394,16789970,0.394
jeffsessions,0.348,986781648,0.348
BruceRaunerHQ,0.309,1431100910,0.309
Sen_JoeManchin,0.682,234374703,0.682
MarkWarner,0.614,7429102,0.614
russfeingold,0.484,16742806,0.484
CarlyFiorina,0.377,65691824,0.377
KenCuccinelli,0.325,26007752,0.325
SeanDuffyWI,0.305,234022257,0.305
NRA,0.3,21829541,0.3
GavinNewsom,0.602,11347122,0.602
sendavidperdue,0.46,2863210809,0.46
SenSchumer,0.46,17494010,0.46
BillOReilly,0.388,23970102,0.388
Ted_Strickland,0.376,34012907,0.376
wisgop,0.357,15182074,0.357
The_RGA,0.403,21878458,0.403
ChrisAbeleMKE,0.353,294154735,0.353
AlexSinkFlorida,0.75,36151878,0.75
RepLloydDoggett,0.711,153944899,0.711
JulianCastro,0.697,19682187,0.697
KasimReed,0.679,15256841,0.679
SecPriceMD,0.539,829782369670410240,0.539
KendrickMeek,0.468,24232525,0.468
clairecmc,0.447,16160352,0.447
CrossroadsGPS,0.358,177706730,0.358
PaulBrounMD,0.258,18811140,0.258
AFPhq,0.161,44209472,0.161
amyklobuchar,0.694,33537967,0.694
paulkrugman,0.694,17006157,0.694
davidaxelrod,0.597,244655353,0.597
SenGillibrand,0.578,72198806,0.578
MartinOMalley,0.486,15824288,0.486
JonHuntsman,0.481,294728278,0.481
LincolnChafee,0.458,89781370,0.458
MMFlint,0.444,20479813,0.444
JimRenacci,0.383,2337241560,0.383
GinaRaimondo,0.656,113795716,0.656
RoyCooperNC,0.574,1712960918,0.574
GovRichardson,0.568,31428685,0.568
George_LeMieux,0.529,19269183,0.529
kaybaileyhutch,0.515,133439172,0.515
GovGaryJohnson,0.515,95713333,0.515
RepGrothman,0.5,2976606250,0.5
TimPawlenty,0.494,23134068,0.494
KarlRove,0.441,18791763,0.441
RonDeSantisFL,0.435,487297085,0.435
USChamber,0.332,85606078,0.332
TomCottonAR,0.303,343041182,0.303
ChrisJLarson,0.244,93440753,0.244
JerryBrownGov,0.813,19418459,0.813
BobbyScott,0.641,161791703,0.641
fredthompson,0.563,2704951,0.563
BarbaraBuono,0.541,993956222,0.541
LamarSmithTX21,0.484,15856366,0.484
adamputnam,0.472,48809111,0.472
prioritiesUSA,0.431,289963138,0.431
MajorityPAC,0.313,322691272,0.313
AnnCoulter,0.197,196168350,0.197
OccupyDemocrats,0.178,878284831,0.178
SenJeffMerkley,0.733,29201047,0.733
PatrickMurphyFL,0.617,261852987,0.617
SamAdamsPDX,0.517,18731529,0.517
PeteButtigieg,0.517,226222147,0.517
AmericanXRoads,0.283,141990034,0.283
GovKitz,0.661,69427169,0.661
RepMarcyKaptur,0.643,581141508,0.643
Jim_Moran,0.6,47412499,0.6
RoyBlunt,0.564,21269970,0.564
JohnnyIsakson,0.536,253252536,0.536
MorriseyWV,0.536,478733284,0.536
MoveOn,0.5,26657119,0.5
ConnieMackIV,0.457,23121519,0.457
EricGreitens,0.446,24004390,0.446
OHDems,0.396,7392352,0.396
DaveBratVA7th,0.279,2279098645,0.279
SheriffClarke,0.164,118845216,0.164
Randy_Forbes,0.731,15160884,0.731
RepMcCaul,0.712,26424123,0.712
donnabrazile,0.635,60919240,0.635
SenatorShaheen,0.596,109287731,0.596
SenatorMenendez,0.577,18695134,0.577
JohnKerry,0.519,15007149,0.519
SenatorDurbin,0.512,247334603,0.512
MikeDeWine,0.481,30887511,0.481
LindseyGrahamSC,0.462,432895323,0.462
JackKingston,0.462,36654245,0.462
JoeNBC,0.442,21619519,0.442
RahmEmanuel,0.385,197594920,0.385
SenToomey,0.385,221162525,0.385
JBPritzker,0.365,45550693,0.365
PatMcCroryNC,0.3,66602794,0.3
LeahVukmir,0.169,28946201,0.169
replouiegohmert,0.054,22055226,0.054
yournewswire,-0.05,1331194203251101696,-0.05
WVGOP,0.771,44170811,0.771
TimRyan,0.742,466532637,0.742
RepTomGraves,0.638,190328374,0.638
RepHankJohnson,0.583,24745957,0.583
SaxbyChambliss,0.554,538185166,0.554
SenatorHassan,0.542,946549322,0.542
HawleyMO,0.479,2352629311,0.479
leticiavdp,0.429,22322730,0.429
EdWGillespie,0.408,136250134,0.408
willweatherford,0.396,107807966,0.396
RebeccaforReal,0.388,41189107,0.388
RepRWilliams,0.379,1077446982,0.379
CLFSuperPAC,0.292,625546219,0.292
DrPhilGingrey,0.263,32506723,0.263
MichelleObama,0.682,409486555,0.682
RepGoodlatte,0.659,37920978,0.659
KellyAyotte,0.636,229592356,0.636
JimJusticeWV,0.627,3167789983,0.627
Todd_Staples,0.559,38013922,0.559
MayorAdler,0.468,2300278368,0.468
TexasGOP,0.468,37760670,0.468
